"Местное время во Владимире";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.01.2018 21:00";"-0.1";"745.4";"761.5";"-0.5";"94";"Ветер, дующий с юга";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"-1.0";"";"";"";"";"";"";
"01.01.2018 18:00";"0.0";"745.9";"762.0";"0.1";"96";"Ветер, дующий с юга";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.0";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"-0.5";"Осадков нет";"12";"";"";"";"";
"01.01.2018 15:00";"0.0";"745.8";"761.9";"-0.1";"96";"Ветер, дующий с юга";"2";"";"";"100%.";"Дымка. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"-0.5";"";"";"";"";"";"";
"01.01.2018 12:00";"-0.3";"745.9";"762.1";"0.1";"97";"Ветер, дующий с юга";"1";"";"";"100%.";"Туман или ледяной туман. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"50-100";"";"";"1.0";"-0.7";"";"";"";"";"";"";
"01.01.2018 09:00";"-0.4";"745.8";"762.0";"0.3";"97";"Ветер, дующий с юга";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"";"";"";"0.5";"-0.8";"";"";"";"";"";"";
"01.01.2018 06:00";"-0.2";"745.5";"761.7";"0.5";"100";"Ветер, дующий с юга";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"-0.7";"";"";"";"";"";"";"0.5";"-0.2";"0.3";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"3.0";
"01.01.2018 03:00";"-0.3";"745.0";"761.2";"0.5";"96";"Ветер, дующий с юго-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"";"";"";"0.5";"-0.8";"";"";"";"";"";"";
"01.01.2018 00:00";"-0.5";"744.5";"760.6";"0.4";"96";"Ветер, дующий с юго-юго-запада";"2";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"";"";"";"";"0.5";"-1.0";"";"";"";"";"";"";
"31.12.2017 21:00";"-0.6";"744.1";"760.3";"0.0";"95";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-1.3";"";"";"";"";"";"";
"31.12.2017 18:00";"-0.7";"744.1";"760.3";"-0.1";"95";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Снег и/или другие виды твердых осадков";"";"-0.1";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-1.4";"0.8";"12";"";"";"";"";
"31.12.2017 15:00";"-0.4";"744.2";"760.3";"-0.2";"92";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"-1.5";"";"";"";"";"";"";
"31.12.2017 12:00";"-0.4";"744.4";"760.6";"-0.2";"92";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Снежные зерна (с туманом или без него). ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"-1.5";"";"";"";"";"";"";
"31.12.2017 09:00";"-0.3";"744.6";"760.7";"-0.5";"90";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.4";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.8";"";"";"";"";"";"";
"31.12.2017 06:00";"-0.1";"745.1";"761.2";"-0.3";"88";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.1";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.8";"Следы осадков";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Менее 0.5";
